1.181843, 0.126772 0.313637 0.407353 0.590724 0.695615 0.850586 1.080474 1.220576 1.377561 1.409486 1.313618 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 
1.203509, 0.313637 0.407353 0.590724 0.695615 0.850586 1.080474 1.220576 1.377561 1.409486 1.313618 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 
1.233788, 0.407353 0.590724 0.695615 0.850586 1.080474 1.220576 1.377561 1.409486 1.313618 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 
1.276283, 0.590724 0.695615 0.850586 1.080474 1.220576 1.377561 1.409486 1.313618 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 
1.331963, 0.695615 0.850586 1.080474 1.220576 1.377561 1.409486 1.313618 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 
1.381832, 0.850586 1.080474 1.220576 1.377561 1.409486 1.313618 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 
1.395558, 1.080474 1.220576 1.377561 1.409486 1.313618 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 
1.424648, 1.220576 1.377561 1.409486 1.313618 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 
1.476736, 1.377561 1.409486 1.313618 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 
1.519578, 1.409486 1.313618 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 
1.573917, 1.313618 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 1.519035 
